,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
17,Altstadt,Café,Art Museum,German Restaurant,Plaza,Wine Bar,Gift Shop,Italian Restaurant,Burger Joint,Ice Cream Shop,Pastry Shop
18,Altstetten,Supermarket,Swiss Restaurant,Italian Restaurant,Discount Store,Mediterranean Restaurant,Tram Station,Mexican Restaurant,Fast Food Restaurant,Plaza,Hotel
19,Amoy Gardens,Dessert Shop,Chinese Restaurant,Japanese Restaurant,Sushi Restaurant,Fast Food Restaurant,Supermarket,Playground,Bus Station,Bus Stop,Café
20,Anchorvale,Basketball Court,Trail,Fast Food Restaurant,Supermarket,Czech Restaurant,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant
21,Andingmen,Café,Pizza Place,Bus Station,Lounge,Food Truck,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant
22,Ang Mo Kio,Dessert Shop,Japanese Restaurant,Supermarket,Fast Food Restaurant,Bakery,Pharmacy,Coffee Shop,Shopping Mall,Gym / Fitness Center,Snack Place
23,Anzhen,Chinese Restaurant,Lounge,Pizza Place,Gym Pool,Zoo Exhibit,Farm,Field,Festival,Fast Food Restaurant,Farmers Market
24,"Aoyama, Minato",Convenience Store,Italian Restaurant,Japanese Restaurant,Chinese Restaurant,Soba Restaurant,BBQ Joint,Rock Club,Coffee Shop,Food Court,Café
25,Ap Lei Chau,Fast Food Restaurant,Cupcake Shop,Shopping Mall,Paper / Office Supplies Store,Chinese Restaurant,Supermarket,Deli / Bodega,Department Store,Czech Restaurant,Fabric Shop
26,Arden Heights,Bus Stop,Moving Target,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
27,Areas of Tokyo,Chinese Restaurant,Ramen Restaurant,Karaoke Box,Café,Movie Theater,Fishing Store,Thai Restaurant,Gym / Fitness Center,Shopping Mall,Dongbei Restaurant
28,Arlington,Bus Stop,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
29,Arrochar,Pizza Place,Liquor Store,Bus Stop,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Farm
30,Arverne,Beach,Bed & Breakfast,Playground,Zoo Exhibit,Fish Market,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
31,Asagaya,Café,BBQ Joint,Takoyaki Place,Ramen Restaurant,Italian Restaurant,Sake Bar,Event Space,Grocery Store,Chinese Restaurant,Thai Restaurant
32,Asakusa,Convenience Store,Ramen Restaurant,Wagashi Place,Café,Soba Restaurant,Dessert Shop,Bakery,Comedy Club,Hostel,Hookah Bar
33,Astoria,Plaza,Sculpture Garden,Gourmet Shop,Intersection,Fast Food Restaurant,Lounge,Brazilian Restaurant,Liquor Store,Farmers Market,Field
34,Astoria Heights,Italian Restaurant,Deli / Bodega,Chinese Restaurant,Shopping Mall,Bakery,Plaza,Food,Farm,Field,Festival
35,Auburndale,Italian Restaurant,Zoo Exhibit,Farm,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Falafel Restaurant
36,Babaoshan,Curling Ice,Hotpot Restaurant,Chinese Restaurant,Electronics Store,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
37,Bahnhofsviertel,Indian Restaurant,Bakery,Seafood Restaurant,Vietnamese Restaurant,Hotel,Restaurant,Bar,Drugstore,Asian Restaurant,Thai Restaurant
38,Balizhuang,Hubei Restaurant,Hotel,Metro Station,Seafood Restaurant,Zoo Exhibit,Farmers Market,Field,Festival,Fast Food Restaurant,Farm
39,Banchō,Convenience Store,Train Station,Coffee Shop,Platform,Seafood Restaurant,Sandwich Place,Sushi Restaurant,Sake Bar,Soup Place,Pharmacy
40,Bankenviertel,Bar,French Restaurant,Indian Restaurant,Hotel,Bistro,Art Museum,Salad Place,Theater,Opera House,Scenic Lookout
41,Barking and Dagenham ,Bus Stop,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
42,Barnet,Pub,Gym / Fitness Center,Supermarket,Fast Food Restaurant,Train Station,Chinese Restaurant,Fabric Shop,Factory,Falafel Restaurant,Exhibit
43,Bath Beach,Italian Restaurant,Kebab Restaurant,Bagel Shop,Pizza Place,Donut Shop,Hookah Bar,Ice Cream Shop,Diner,Video Store,Rental Car Location
44,Bathurst Manor,Baseball Field,Convenience Store,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
45,Bathurst Quay,Coffee Shop,Tunnel,Café,Japanese Restaurant,Sushi Restaurant,Sculpture Garden,Grocery Store,Park,Festival,Fast Food Restaurant
46,Battery Park City,Park,Sandwich Place,Food Court,Cupcake Shop,Gym,Coffee Shop,BBQ Joint,Boutique,Gift Shop,Boat or Ferry
47,Bay Ridge,Italian Restaurant,Spa,Mediterranean Restaurant,Karaoke Bar,Bookstore,Caucasian Restaurant,Hookah Bar,Pizza Place,Seafood Restaurant,Chinese Restaurant
48,Bay Terrace,Bus Station,Bus Stop,Playground,Clothing Store,Plaza,Mobile Phone Shop,Bakery,Tennis Court,Donut Shop,Steakhouse
49,Baychester,Donut Shop,Baseball Field,Bank,Spanish Restaurant,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
50,Bayside,Shipping Store,Indian Restaurant,Mediterranean Restaurant,Health & Beauty Service,Pharmacy,Bakery,Greek Restaurant,Pizza Place,Vietnamese Restaurant,Spa
51,Bayview Village,Breakfast Spot,Outdoor Supply Store,Sporting Goods Shop,Persian Restaurant,Fish Market,Pet Store,Sandwich Place,Gas Station,Pizza Place,Metro Station
52,Bedford Park,Deli / Bodega,Chinese Restaurant,Construction & Landscaping,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
53,Bedford Stuyvesant,Discount Store,Boutique,Juice Bar,Coffee Shop,Café,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
54,Beechhurst,Dessert Shop,Lawyer,Yoga Studio,Park,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
55,Beitaipingzhuang,Chinese Restaurant,Metro Station,Pizza Place,Fast Food Restaurant,Guizhou Restaurant,Zoo Exhibit,Financial or Legal Service,Exhibit,Fabric Shop,Factory
56,Beixinqiao,Chinese Restaurant,Bar,Japanese Restaurant,Zhejiang Restaurant,French Restaurant,Sandwich Place,Brewery,Café,Fast Food Restaurant,Financial or Legal Service
57,Beiyuan,Metro Station,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
58,Bellaire,Convenience Store,Grocery Store,Chinese Restaurant,Indian Restaurant,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
59,Belle Harbor,Beach,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
60,Bellerose,Asian Restaurant,Bus Station,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
61,Belmont,Italian Restaurant,Pizza Place,Deli / Bodega,Dessert Shop,Discount Store,Piano Bar,Park,Grocery Store,American Restaurant,Diner
62,Bendemeer,Café,Coffee Shop,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
63,Bensonhurst,Italian Restaurant,Park,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
64,Berczy Park,Hotel,Cocktail Bar,Italian Restaurant,Coffee Shop,Restaurant,Café,Beer Bar,Pub,Moroccan Restaurant,Breakfast Spot
65,Bexley,Pub,Fast Food Restaurant,Breakfast Spot,Greek Restaurant,Chinese Restaurant,Indian Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
66,Bidadari,Bus Station,Park,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
67,Big Wave Bay,Historic Site,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
68,Birch Cliff,Park,Smoke Shop,Baseball Field,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Zoo Exhibit
69,Bishan,Food Court,Bubble Tea Shop,Chinese Restaurant,Japanese Restaurant,Electronics Store,Ice Cream Shop,Shoe Store,Multiplex,Pharmacy,Dumpling Restaurant
70,Blissville,Restaurant,Donut Shop,Intersection,Movie Theater,Deli / Bodega,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival
71,Bloordale Gardens,Convenience Store,Coffee Shop,Donut Shop,Deli / Bodega,Sandwich Place,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
72,Boat Quay,Salad Place,Coffee Shop,Italian Restaurant,Plaza,Cocktail Bar,Seafood Restaurant,Lounge,Bar,History Museum,Comfort Food Restaurant
73,Bockenheim,Bus Stop,Bar,Ice Cream Shop,Middle Eastern Restaurant,Zoo Exhibit,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
74,Boerum Hill,Furniture / Home Store,Coffee Shop,Indian Restaurant,Cocktail Bar,Men's Store,Middle Eastern Restaurant,Bar,Bakery,Sandwich Place,Spa
75,Bonames,Greek Restaurant,Café,Bakery,German Restaurant,Doner Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
76,Boon Keng,Noodle House,Chinese Restaurant,Fast Food Restaurant,Soup Place,Shopping Mall,Food Court,Dessert Shop,Sandwich Place,Bakery,Coffee Shop
77,Boon Lay,Food Court,Bus Station,Convenience Store,Indian Restaurant,Noodle House,Grocery Store,Bus Line,Malay Restaurant,Hockey Arena,Seafood Restaurant
78,Boon Lay Place,Food Court,Shopping Mall,Convenience Store,Noodle House,Grocery Store,Soccer Field,Bus Line,Malay Restaurant,Hockey Arena,Seafood Restaurant
79,Bornheim,Italian Restaurant,Pool,Gymnastics Gym,Pool Hall,Fountain,Financial or Legal Service,Event Space,Exhibit,Fabric Shop,Factory
80,Borough Park,Restaurant,Bank,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Falafel Restaurant
81,Braemar Hill,Scenic Lookout,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
82,Bras Basah,Café,Hotel,Japanese Restaurant,Food Court,Art Museum,Restaurant,Gastropub,Dumpling Restaurant,Sandwich Place,Exhibit
83,Breezy Point,Monument / Landmark,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Festival
84,Brent,Convenience Store,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Fishing Spot
85,Briarwood,Playground,Fast Food Restaurant,Plaza,Zoo Exhibit,Fish & Chips Shop,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant
86,Brickworks,Asian Restaurant,Chinese Restaurant,Food Court,American Restaurant,BBQ Joint,Fast Food Restaurant,Ice Cream Shop,Café,Vegetarian / Vegan Restaurant,Coffee Shop
87,Brighton Beach,Sushi Restaurant,Gourmet Shop,Restaurant,Grocery Store,Bookstore,Optical Shop,Playground,Korean Restaurant,Coffee Shop,Basketball Court
88,Broad Channel,Dog Run,Park,Harbor / Marina,Other Nightlife,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
89,Broadway Junction,Bus Station,Bus Stop,Hotel,Intersection,Food Stand,Diner,Playground,Lounge,Food,Sandwich Place
90,Brockton,Coffee Shop,Grocery Store,Café,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
91,Bromley,Clothing Store,Coffee Shop,Cosmetics Shop,Sandwich Place,Fast Food Restaurant,Bookstore,Sushi Restaurant,Department Store,Gym / Fitness Center,Park
92,Bronxdale,Bakery,Metro Station,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
93,Brooklyn Heights,Deli / Bodega,Yoga Studio,Bakery,Asian Restaurant,Ice Cream Shop,Wine Shop,Thai Restaurant,Mexican Restaurant,Pharmacy,Cosmetics Shop
94,Brookville,Nightlife Spot,Deli / Bodega,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
95,Brownsville,Restaurant,Trail,Chinese Restaurant,Pizza Place,Farmers Market,Spanish Restaurant,Burger Joint,Exhibit,Fabric Shop,Factory
96,Bugis,Japanese Restaurant,Dessert Shop,Hotel,Shopping Mall,Sushi Restaurant,Bakery,Café,Building,Thai Restaurant,Coffee Shop
97,Bukit Batok,Department Store,Chinese Restaurant,Coffee Shop,Café,Fast Food Restaurant,Frozen Yogurt Shop,Shopping Mall,Mobile Phone Shop,Electronics Store,Asian Restaurant
98,Bukit Ho Swee,Chinese Restaurant,Coffee Shop,Food Court,Bakery,Fast Food Restaurant,Noodle House,Electronics Store,Comfort Food Restaurant,Thai Restaurant,Pizza Place
99,Bukit Merah,Bookstore,Cupcake Shop,Café,Yoga Studio,Restaurant,Boutique,Ice Cream Shop,Financial or Legal Service,Filipino Restaurant,Field
100,Bukit Panjang,Food Court,Market,Bus Line,Miscellaneous Shop,Noodle House,Thrift / Vintage Store,Filipino Restaurant,Field,Festival,Fast Food Restaurant
101,Bukit Timah,Trail,Mountain,Rest Area,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
102,Bulls Head,Tex-Mex Restaurant,Pharmacy,Bus Stop,Bank,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
103,Bushwick,Bar,Deli / Bodega,Thrift / Vintage Store,Chinese Restaurant,Mexican Restaurant,Latin American Restaurant,Discount Store,Sandwich Place,Korean Restaurant,Liquor Store
104,Butler Manor,Pool,Convenience Store,Baseball Field,Gas Station,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
105,Běixīnjīng,Fast Food Restaurant,Market,Metro Station,Dumpling Restaurant,Convenience Store,Coffee Shop,Bakery,Shopping Plaza,Hotel,Factory
106,CN Tower,Aquarium,Baseball Stadium,Coffee Shop,Restaurant,History Museum,Scenic Lookout,Hotel,Concert Hall,Baseball Field,Monument / Landmark
107,Cabbagetown,Pub,Restaurant,Coffee Shop,Deli / Bodega,Grocery Store,Bakery,Bank,Pharmacy,Pet Store,Liquor Store
108,Cambria Heights,Caribbean Restaurant,Health Food Store,Cosmetics Shop,Nightclub,Bus Station,Fried Chicken Joint,Fish & Chips Shop,Event Space,Exhibit,Fabric Shop
109,Camden,Pub,Italian Restaurant,Caribbean Restaurant,Asian Restaurant,Pizza Place,Coffee Shop,Park,Canal,Café,Music Store
110,Canarsie,Asian Restaurant,Bus Line,Deli / Bodega,Chinese Restaurant,Festival,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
111,Carnegie Hill,Café,Gym / Fitness Center,Italian Restaurant,Wine Bar,Gym,Grocery Store,Bagel Shop,Bank,Bar,Coffee Shop
112,Caroline Hill,Coffee Shop,Restaurant,Japanese Restaurant,Chinese Restaurant,Ice Cream Shop,Dessert Shop,Bakery,Snack Place,Cantonese Restaurant,Factory
113,Carroll Gardens,Italian Restaurant,Deli / Bodega,Coffee Shop,Bank,Café,Cocktail Bar,Greek Restaurant,Bagel Shop,Bakery,Bar
114,Castle Hill,Pharmacy,Diner,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
115,Castleton Corners,Japanese Restaurant,Deli / Bodega,Sandwich Place,Ice Cream Shop,Bank,Restaurant,Bus Stop,Exhibit,Fabric Shop,Factory
116,Causeway Bay,Japanese Restaurant,Sushi Restaurant,Dessert Shop,Vietnamese Restaurant,Bakery,Coffee Shop,Bubble Tea Shop,Chinese Restaurant,Sporting Goods Shop,Clothing Store
117,Cedarbrae,Hardware Store,Toy / Game Store,Coffee Shop,Fast Food Restaurant,Zoo Exhibit,Fish & Chips Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant
118,Central Bay Street,Coffee Shop,Italian Restaurant,Sandwich Place,Café,Burger Joint,Salad Place,Sushi Restaurant,Pharmacy,Caribbean Restaurant,Spa
119,Central District,Lounge,Coffee Shop,Hotel Bar,Cantonese Restaurant,Italian Restaurant,Café,Boutique,Social Club,Bookstore,Beijing Restaurant
120,Central Harlem,Cosmetics Shop,Music Venue,Vegetarian / Vegan Restaurant,Bus Stop,Fried Chicken Joint,Café,Deli / Bodega,French Restaurant,Breakfast Spot,Southern / Soul Food Restaurant
121,Cha Kwo Ling,Cha Chaan Teng,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
122,Chai Wan,Bakery,Fast Food Restaurant,Platform,Asian Restaurant,Sushi Restaurant,Park,Vietnamese Restaurant,Coffee Shop,Cosmetics Shop,Multiplex
123,Changxindian,Breakfast Spot,Garden Center,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Zoo Exhibit
124,Chaowai,Gay Bar,Taiwanese Restaurant,Farm,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Zoo Exhibit
125,Chaoyangmen,Asian Restaurant,Hotpot Restaurant,Bus Station,Fast Food Restaurant,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
126,Charleston,Arts & Crafts Store,Irish Pub,Movie Theater,Big Box Store,Department Store,Cosmetics Shop,Bus Line,Italian Restaurant,Falafel Restaurant,Farm
127,Chek Lap Kok,Smoke Shop,Restaurant,Airport Gate,Coffee Shop,Accessories Store,Event Space,Event Service,Exhibit,Fabric Shop,Fish & Chips Shop
128,Chelsea,Nightclub,Hotel,Mexican Restaurant,Italian Restaurant,Ice Cream Shop,Chinese Restaurant,Speakeasy,Pizza Place,New American Restaurant,Roof Deck
129,Cheng San,Trail,Movie Theater,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
130,Chengguan,Park,Athletics & Sports,Hotel,Historic Site,Steakhouse,Zoo Exhibit,Field,Festival,Fast Food Restaurant,Farmers Market
131,Chengnan,Lake,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market,Fishing Spot
132,Cheung Chau,Snack Place,Dessert Shop,Coffee Shop,Asian Restaurant,Beach,Restaurant,Chinese Restaurant,Café,Hong Kong Restaurant,Gym / Fitness Center
133,Cheung Sha Wan,Shopping Mall,Chinese Restaurant,Hong Kong Restaurant,Zoo Exhibit,Farm,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
134,Chin Bee,Food Court,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
135,Chinatown,Chinese Restaurant,Hotpot Restaurant,Noodle House,Hostel,Dumpling Restaurant,Café,Bubble Tea Shop,Spa,Vietnamese Restaurant,Food Court
136,Choa Chu Kang,Dive Spot,Playground,Park,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
137,Choi Hung Estate,Cantonese Restaurant,Snack Place,Cha Chaan Teng,Café,Dim Sum Restaurant,Chinese Restaurant,Bus Stop,Bus Station,Farm,Farmers Market
138,Choi Wan Estate,Burger Joint,Chinese Restaurant,Bus Stop,Shopping Mall,Dim Sum Restaurant,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
139,Chong Boon,Bus Line,Chinese Restaurant,Pharmacy,Food Court,Fast Food Restaurant,Bus Station,Halal Restaurant,Hainan Restaurant,Convenience Store,Zoo Exhibit
140,Christie,Korean Restaurant,Karaoke Bar,Japanese Restaurant,Coffee Shop,Grocery Store,Sandwich Place,Bar,Pizza Place,Bubble Tea Shop,Taco Place
141,Chung Hom Kok,Grocery Store,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
142,Church and Wellesley,Burger Joint,Dessert Shop,Creperie,General Entertainment,Martial Arts Dojo,Gym / Fitness Center,Theme Restaurant,Grocery Store,Mexican Restaurant,Middle Eastern Restaurant
143,Chángqiáo,Pharmacy,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
144,Chángshòulù,Fast Food Restaurant,Hotpot Restaurant,Chinese Restaurant,Street Food Gathering,Noodle House,Pizza Place,Multiplex,Coffee Shop,Farmers Market,Filipino Restaurant
145,Chéngjiāqiáo,Chinese Restaurant,Seafood Restaurant,Zoo Exhibit,Fish & Chips Shop,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
146,Chēdūn Zhèn,Train Station,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
147,City,Hotel,Bar,Cocktail Bar,Department Store,Vegetarian / Vegan Restaurant,Tram Station,Bakery,Organic Grocery,Swiss Restaurant,Sushi Restaurant
148,City Hall,Café,Shopping Mall,Dessert Shop,Coffee Shop,Cocktail Bar,Event Space,Hotel,Juice Bar,Fujian Restaurant,German Restaurant
149,City Island,Grocery Store,Seafood Restaurant,Art Gallery,French Restaurant,Deli / Bodega,Pizza Place,Thrift / Vintage Store,Music Venue,Diner,American Restaurant
150,City Line,Cosmetics Shop,Video Game Store,Flower Shop,Pizza Place,Mobile Phone Shop,Latin American Restaurant,Fast Food Restaurant,Bakery,Sporting Goods Shop,Pet Store
151,City One Shatin,Chinese Restaurant,Coffee Shop,Noodle House,Bubble Tea Shop,Convenience Store,Dumpling Restaurant,Pharmacy,Hong Kong Restaurant,Shabu-Shabu Restaurant,Asian Restaurant
152,Civic Center,Martial Arts Dojo,Sandwich Place,Coffee Shop,Italian Restaurant,Gym / Fitness Center,Falafel Restaurant,Gym,Cuban Restaurant,Bubble Tea Shop,Health & Beauty Service
153,Clairlea,Restaurant,Intersection,Fast Food Restaurant,Pharmacy,Grocery Store,Mexican Restaurant,Sandwich Place,Convenience Store,Zoo Exhibit,Farm
154,Claremont Village,Discount Store,Supermarket,Gift Shop,Deli / Bodega,Caribbean Restaurant,Park,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field
155,Clarke Quay,Hotel,Café,Thai Restaurant,Seafood Restaurant,Lounge,Nightclub,Mexican Restaurant,Cocktail Bar,Sports Bar,Middle Eastern Restaurant
156,Clason Point,Pool,Park,Playground,Zoo Exhibit,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
157,Clear Water Bay,Boat or Ferry,Harbor / Marina,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
158,Clementi,Food Court,Chinese Breakfast Place,Noodle House,Video Game Store,Chinese Restaurant,Bubble Tea Shop,Thai Restaurant,Cosmetics Shop,Dim Sum Restaurant,Grocery Store
159,Cliffcrest,Fast Food Restaurant,Burger Joint,Hardware Store,Pizza Place,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
160,Clifford Pier,Café,Coffee Shop,Italian Restaurant,Chinese Restaurant,Japanese Restaurant,Salad Place,Hotel Bar,Cocktail Bar,Lounge,Poke Place
161,Cliffside,Grocery Store,Pizza Place,Sandwich Place,Breakfast Spot,Zoo Exhibit,Fast Food Restaurant,Filipino Restaurant,Field,Festival,Farmers Market
162,Clifton,Deli / Bodega,Pizza Place,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
